id	path	key	kind	title	line1	line2
midi_out_dynamic	System > MIDI > MIDI Out > *	action:midi_select_output:*	action	Select MIDI Output	Selects this MIDI output device for note/event transmission.	Use Disconnect to clear selection.
midi_in_dynamic	System > MIDI > MIDI In > *	action:midi_select_input:*	action	Select MIDI Input	Selects this MIDI input device for transport/sync control.	Use Disconnect to clear selection.
midi_sync_mode	System > MIDI > Sync & Clock > Sync Mode	key:midi.syncMode	enum	Sync Mode	Chooses whether timing is internal or external MIDI clock.	External mode follows incoming clock when enabled.
midi_clock_out	System > MIDI > Sync & Clock > Clock Out	key:midi.clockOutEnabled	bool	Clock Out	Enables outgoing MIDI clock messages.	Useful when other gear should follow this transport.
midi_clock_in	System > MIDI > Sync & Clock > Clock In	key:midi.clockInEnabled	bool	Clock In	Enables incoming MIDI clock processing.	Required to follow external timing.
midi_respond_start_stop	System > MIDI > Sync & Clock > Follow Start/Stop	key:midi.respondToStartStop	bool	Follow Start/Stop	When enabled, external MIDI Start/Stop controls transport.	When disabled, transport reacts only to local controls.
worlds_section	Menu > 1: Worlds		group	Worlds	Configures each layer's grid behavior and step timing.	Shape the cell process here before Pulses turns activity into notes.
life_step_rate	*	key:algorithmStepUnit	enum	Step Rate	Sets how often the Life algorithm advances per musical time unit.	Faster rates evolve patterns quickly; slower rates make longer-form motion.
life_behavior	*	key:activeBehavior	enum	Behavior	Selects the current layer's Life behavior engine.	Changing behavior resets that layer's live grid state to the new defaults.
pulses_section	Menu > 2: Pulses		group	Pulses	Controls how grid activity is interpreted into trigger intents.	This is where scan/event sources get routed toward instruments.
worlds_layer_group	Menu > 1: Worlds > L*: *		group	Layer	Configures the selected layer's behavior, timing, and runtime settings.	Each of the 8 layers runs its own behavior and Worlds/Pulses config independently.
pulses_layer_group	Menu > 2: Pulses > L*: *		group	Layer	Per-layer Pulses interpretation, scanning, and trigger routing settings.	Organized into submenus including Instrument Targets, Trigger Prob., Note Mapping, and X/Y axis modulation.
layer_behavior	*	key:layers.*.worlds.behaviorId	enum	Behavior	Selects which behavior engine owns this layer's grid and runtime state.	Switching behavior replaces the layer's current behavior state with that behavior's defaults.
layer_step_rate	*	key:layers.*.worlds.stepRate	enum	Step Rate	Sets how often this layer's behavior advances relative to transport time.	Use faster rates for dense motion and slower rates for long-form pattern change.
layer_spawn_count	*	key:layers.*.worlds.behaviorConfig.randomCellsPerTick	number	Spawn Count	Sets how many random cells are injected by this layer's spawn-style behavior action.	Higher values create denser bursts and faster pattern disruption.
layer_spawn_interval	*	key:layers.*.worlds.behaviorConfig.randomTickInterval	number	Spawn Interval	Sets how many behavior ticks pass between automatic random spawn bursts.	Lower values create more frequent injections.
layer_glider_interval	*	key:layers.*.worlds.behaviorConfig.gliderSpawnInterval	number	Glider Interval	Sets how many behavior ticks pass between automatic glider injections.	Use 0 to disable automatic glider spawning.
layer_spawn_step	*	key:layers.*.worlds.behaviorConfig.spawnStep	number	Spawn Step	Sets the sequenced position or interval used by behaviors that step their own spawn source.	Increase it to spread spawned changes farther apart in time or space.
layer_looper_punch	*	action:behavior_action:toggleMode	action	Punch In/Out	Toggles the looper between overdub and play.	Keeps the recorded loop and current playback position.
layer_looper_length	*	key:layers.*.worlds.behaviorConfig.lengthSteps	number	Length	Sets the loop length in this layer's behavior steps.	Use a faster Step Rate for tighter recording and playback resolution.
layer_looper_clear	*	action:behavior_action:clearLoop	action	Clear Loop	Clears the recorded looper sequence for this layer.	Live-held cells stay active; loop playback cells are released.
layer_save_grid_state	*	key:layers.*.worlds.saveGridState	bool	Save Grid State	When On, this layer's runtime/grid snapshot is stored in preset and default saves.	Turn it Off if you want to keep configuration but not the current live cell state.
layer_auto_name	*	key:layers.*.autoName	bool	Auto Label	When On, the layer label follows the active behavior or generated default label.	Turn it Off before typing a custom layer label you want to keep.
layer_name	*	key:layers.*.name	text	Layer Label	Sets the user-visible label for this layer.	Used across menus and overlays when Auto Label is off.
worlds_save_grid_state	Menu > 1: Worlds > Save Grid State		bool	Save Grid State	When On, this layer's runtime/grid state is stored in preset/default saves.	When Off, saves keep this layer's config but not its current runtime/grid snapshot.
scan_mode	*	key:layers.*.pulses.scanMode	enum	Scan Mode	Options: none, scanning. none uses whole-grid interpretation without a scan cursor.	scanning moves a cursor by scan unit, axis, and direction and emits scanned/scanned-empty triggers.
scan_axis	*	key:layers.*.pulses.scanAxis	enum	Scan Axis	Sets whether scanning traverses rows or columns.	Combine with Scan Direction to define scan movement.
scan_unit	*	key:layers.*.pulses.scanUnit	enum	Scan Unit	Sets scan cursor advance rate in musical units.	Smaller units move faster; larger units move slower.
scan_direction	*	key:layers.*.pulses.scanDirection	enum	Scan Direction	Sets scan travel direction along the selected axis.	Use reverse for back-and-forth style phrasing with manual resets.
scan_sections	*	key:layers.*.pulses.scanSections	enum	Sections	Splits scanning into 1, 2, 4, or 8 lane sections.	1 preserves current full-grid scan behavior; higher values scan smaller lanes in sequence.
event_enabled	*	key:layers.*.pulses.eventEnabled	bool	Event Triggers	Enables transition triggers such as activate, deactivate, and stable for this layer.	Turn it Off to suppress event-based note generation while keeping other Pulses settings intact.
targets_group	Menu > 2: Pulses > L*: * > Events > Instrument Targets		group	Instrument Targets	Maps each trigger kind to an action and destination instrument slot.	Use note_off actions for release-style lifecycle behavior.
map_activate_action	*	key:layers.*.pulses.mapping.activate.action	enum	Activate Action	Defines what happens when a cell becomes active.	Default note_on starts notes on birth, spawn, or press transitions.
map_activate_slot	*	key:layers.*.pulses.mapping.activate.slot	enum	Activate Instrument	Selects which instrument slot receives activate events.	Point this at the slot that should sound when a cell turns on.
map_stable_action	*	key:layers.*.pulses.mapping.stable.action	enum	Stable Action	Defines behavior for cells that stay active across updates.	Default none avoids constant retriggering from unchanged active cells.
map_stable_slot	*	key:layers.*.pulses.mapping.stable.slot	enum	Stable Instrument	Selects destination instrument slot for stable triggers.	Use with stable action when you want sustained-state gestures.
map_deactivate_action	*	key:layers.*.pulses.mapping.deactivate.action	enum	Deactivate Action	Defines what happens when a cell turns inactive.	Default note_off releases matching notes in lifecycle workflows.
map_deactivate_slot	*	key:layers.*.pulses.mapping.deactivate.slot	enum	Deactivate Instrument	Selects destination instrument slot for deactivate triggers.	Typically points to the same slot used by activate note_on.
map_scanned_action	*	key:layers.*.pulses.mapping.scanned.action	enum	Scanned Action	Defines behavior when scan encounters a filled cell.	Default note_on makes scanning immediately audible.
map_scanned_slot	*	key:layers.*.pulses.mapping.scanned.slot	enum	Scanned Instrument	Selects destination instrument slot for scanned-filled triggers.	Use different slots for layered scan and event voicing.
map_scanned_empty_action	*	key:layers.*.pulses.mapping.scanned_empty.action	enum	Scanned Empty Action	Defines behavior when scan encounters an empty cell.	Default note_off can release held scan notes.
map_scanned_empty_slot	*	key:layers.*.pulses.mapping.scanned_empty.slot	enum	Scanned Empty Instrument	Selects destination instrument slot for scanned-empty triggers.	Pair with the scanned slot for directional hold-and-release patterns.
voices_section	Menu > 3: Tones		group	Tones	Defines pitch mapping and instrument slot sound engines.	This layer controls how sensed events become audible voices.
note_mapping_group	Menu > 3: Tones > Note Mapping		group	Note Mapping	Sets pitch quantization, range, and root/scale behavior.	Applied before per-instrument synth shaping.
pitch_start	*	key:layers.*.pulses.pitch.startingNote	number	Starting Note	Sets the reference note before X/Y pitch step offsets are applied for this layer.	Use this as the tonal center anchor.
pitch_low	*	key:layers.*.pulses.pitch.lowestNote	number	Lowest Note	Sets the lower bound for generated notes.	Notes outside range are handled by Out of Range mode.
pitch_high	*	key:layers.*.pulses.pitch.highestNote	number	Highest Note	Sets the upper bound for generated notes.	Together with Lowest Note this defines the playable range.
pitch_oor	*	key:layers.*.pulses.pitch.outOfRange	enum	Out of Range	Chooses how pitch indices beyond bounds are handled.	Clamp pins to edges; wrap folds back through the range.
pitch_scale	*	key:layers.*.pulses.pitch.scale	enum	Scale	Selects scale intervals used for pitch quantization.	Use this to set harmonic language for the layer.
pitch_root	*	key:layers.*.pulses.pitch.root	enum	Root	Sets the tonic/root for selected scale quantization.	Changing root transposes quantized output harmonically.
inst_group	Menu > 3: Tones > Instruments		group	Instruments	Holds the destination instrument slots that Pulses trigger mappings play into.	Each slot can run synth, sampler, or MIDI settings with its own mixer and naming controls.
inst_midi_group	Menu > 3: Tones > Instruments > Instrument * > MIDI		group	Instrument MIDI	Controls external MIDI note output for this slot.	Enable it and choose the outgoing channel.
inst_slot_1	Menu > 3: Tones > Instruments > Instrument 1		group	Instrument Slot	Configures one destination instrument slot.	Pulses mappings route trigger actions into these slots.
inst_slot_2	Menu > 3: Tones > Instruments > Instrument 2		group	Instrument Slot	Configures one destination instrument slot.	Pulses mappings route trigger actions into these slots.
inst_slot_3	Menu > 3: Tones > Instruments > Instrument 3		group	Instrument Slot	Configures one destination instrument slot.	Pulses mappings route trigger actions into these slots.
inst_slot_4	Menu > 3: Tones > Instruments > Instrument 4		group	Instrument Slot	Configures one destination instrument slot.	Pulses mappings route trigger actions into these slots.
inst_slot_5	Menu > 3: Tones > Instruments > Instrument 5		group	Instrument Slot	Configures one destination instrument slot.	Pulses mappings route trigger actions into these slots.
inst_slot_6	Menu > 3: Tones > Instruments > Instrument 6		group	Instrument Slot	Configures one destination instrument slot.	Pulses mappings route trigger actions into these slots.
inst_slot_7	Menu > 3: Tones > Instruments > Instrument 7		group	Instrument Slot	Configures one destination instrument slot.	Pulses mappings route trigger actions into these slots.
inst_slot_8	Menu > 3: Tones > Instruments > Instrument 8		group	Instrument Slot	Configures one destination instrument slot.	Pulses mappings route trigger actions into these slots.
inst_synth_osc1_group	Menu > 3: Tones > Instruments > Instrument * > Synth > Osc 1		group	Oscillator 1	Controls first oscillator voice.	Use with Oscillator 2 for layered tone shaping.
inst_synth_osc2_group	Menu > 3: Tones > Instruments > Instrument * > Synth > Osc 2		group	Oscillator 2	Controls second oscillator voice.	Detune/octave offsets create width and harmonic spread.
inst_synth_vol_group	Menu > 3: Tones > Instruments > Instrument * > Synth > Volume		group	Volume	Amplitude and loudness contour controls.	Use Amp and Envelope to define dynamics.
inst_synth_amp_env_group	Menu > 3: Tones > Instruments > Instrument * > Synth > Amp Env		group	Amp Envelope	ADSR loudness contour for the slot.	Shapes attack, sustain body, and release tail.
inst_synth_filter_group	Menu > 3: Tones > Instruments > Instrument * > Synth > Filter		group	Filter	Frequency-shaping section for this slot.	Use cutoff/resonance and filter envelope for movement.
inst_synth_filter_env_group	Menu > 3: Tones > Instruments > Instrument * > Synth > Filter Env		group	Filter Envelope	ADSR contour that modulates filter movement.	Works together with Env Amount.
inst_type_1	Menu > 3: Tones > Instruments > Instrument * > Type	key:instruments.0.type	enum	Instrument Type	Selects this slot's engine: silent, internal synth, sampler playback, or external MIDI output.	The editable section below changes to match the selected type.
inst_type_2	Menu > 3: Tones > Instruments > Instrument * > Type	key:instruments.1.type	enum	Instrument Type	Selects this slot's engine: silent, internal synth, sampler playback, or external MIDI output.	The editable section below changes to match the selected type.
inst_type_3	Menu > 3: Tones > Instruments > Instrument * > Type	key:instruments.2.type	enum	Instrument Type	Selects this slot's engine: silent, internal synth, sampler playback, or external MIDI output.	The editable section below changes to match the selected type.
inst_type_4	Menu > 3: Tones > Instruments > Instrument * > Type	key:instruments.3.type	enum	Instrument Type	Selects this slot's engine: silent, internal synth, sampler playback, or external MIDI output.	The editable section below changes to match the selected type.
inst_type_5	Menu > 3: Tones > Instruments > Instrument * > Type	key:instruments.4.type	enum	Instrument Type	Selects this slot's engine: silent, internal synth, sampler playback, or external MIDI output.	The editable section below changes to match the selected type.
inst_type_6	Menu > 3: Tones > Instruments > Instrument * > Type	key:instruments.5.type	enum	Instrument Type	Selects this slot's engine: silent, internal synth, sampler playback, or external MIDI output.	The editable section below changes to match the selected type.
inst_type_7	Menu > 3: Tones > Instruments > Instrument * > Type	key:instruments.6.type	enum	Instrument Type	Selects this slot's engine: silent, internal synth, sampler playback, or external MIDI output.	The editable section below changes to match the selected type.
inst_type_8	Menu > 3: Tones > Instruments > Instrument * > Type	key:instruments.7.type	enum	Instrument Type	Selects this slot's engine: silent, internal synth, sampler playback, or external MIDI output.	The editable section below changes to match the selected type.
inst_sample_slot	Menu > 3: Tones > Instruments > Instrument * > Sampler > Sample Slot	key:instruments.*.sample.selectedSlot	enum	Sample Slot	Selects which one of the 8 sample slots is currently focused.	Choose Sample and Assign actions apply to the selected slot.
inst_sample_choose_group	Menu > 3: Tones > Instruments > Instrument * > Sampler > S* Browse		group	Choose Sample	Browses wav files under the `samples/` folder.	Space previews the highlighted file through this sampler slot's mixer route.
inst_sample_assign	Menu > 3: Tones > Instruments > Instrument * > Sampler > Assign	action:sample_assign_enter	action	Assign	Enters grid assignment mode for the selected sample slot.	Back exits; Shift+cell applies to row, Fn+Shift+cell applies to column.
inst_sample_velocity_levels	Menu > 3: Tones > Instruments > Instrument * > Sampler > Velocity Levels	key:instruments.*.sample.velocityLevelsEnabled	bool	Velocity Levels	When on, assigned cells store High/Medium/Low level states.	Pressing a selected-slot cell cycles Off -> High -> Medium -> Low -> Off.
inst_sample_level_high	Menu > 3: Tones > Instruments > Instrument * > Sampler > Velocity Levels > Level High	key:instruments.*.sample.velocityLevels.high	number	Level High	Base velocity used for High assignment level.	Final playback velocity is this value scaled by Pulses/global velocity shaping.
inst_sample_level_medium	Menu > 3: Tones > Instruments > Instrument * > Sampler > Velocity Levels > Level Medium	key:instruments.*.sample.velocityLevels.medium	number	Level Medium	Base velocity used for Medium assignment level.	Final playback velocity is this value scaled by Pulses/global velocity shaping.
inst_sample_level_low	Menu > 3: Tones > Instruments > Instrument * > Sampler > Velocity Levels > Level Low	key:instruments.*.sample.velocityLevels.low	number	Level Low	Base velocity used for Low assignment level.	Final playback velocity is this value scaled by Pulses/global velocity shaping.
inst_sample_base_velocity	Menu > 3: Tones > Instruments > Instrument * > Sampler > Base Velocity	key:instruments.*.sample.baseVelocity	number	Base Velocity	Used when Velocity Levels are off.	Assigned cells then play as binary on/off with this base velocity.
inst_sample_browse_open	Menu > 3: Tones > Instruments > Instrument * > Sampler > S* Browse > (loading...)	action:sample.open	action	Loading Samples	Shows while the current sample folder is loading.	Wait for folders, wav files, or `(empty)` to appear.
inst_sample_browse_up	Menu > 3: Tones > Instruments > Instrument * > Sampler > S* Browse > ..	action:sample.up	action	Browse Up	Moves to the parent folder within `samples/`.	Cannot navigate outside the `samples/` root.
inst_sample_browse_enter	Menu > 3: Tones > Instruments > Instrument * > Sampler > S* Browse > *	action:sample.enter	action	Enter Folder	Opens the highlighted bracketed folder.	Navigation stays inside the `samples/` folder tree.
inst_sample_pick	Menu > 3: Tones > Instruments > Instrument * > Sampler > S* Browse > *	action:sample.pick	action	Pick Sample	Assigns the highlighted wav to the selected sample slot.	The slot path updates immediately.
inst_sample_favourite_set	Menu > 3: Tones > Instruments > Instrument * > Sampler > S* Browse > Set favourite	action:sample_favourite_set	action	Set Favourite	Adds the current folder to the sample favourites list.	The action applies to the open folder, not the highlighted file.
inst_sample_favourite_remove	Menu > 3: Tones > Instruments > Instrument * > Sampler > S* Browse > Remove favourite	action:sample_favourite_remove	action	Remove Favourite	Removes the current folder from the sample favourites list.	The action applies to the open folder, not the highlighted file.
pulses_scanning_group	Menu > 2: Pulses > L*: * > Scanning		group	Scanning	Controls scan cursor movement, subdivision, and cursor-based instrument targets.	Scan mode, axis, unit, direction, sections; plus action/instrument mappings for scanned-filled and scanned-empty.
pulses_scan_targets_group	Menu > 2: Pulses > L*: * > Scanning > Instrument Targets		group	Scan Instrument Targets	Maps scan cursor hits (filled and empty) to action and instrument slot.	Action defaults to none so you opt into scan-based triggering.
pulses_events_group	Menu > 2: Pulses > L*: * > Events		group	Events	Controls transition event triggering and event-based instrument targets.	Event Triggers toggle, plus activate/stable/deactivate action/instrument mappings.
pulses_note_mapping_group	Menu > 2: Pulses > L*: * > Note Mapping		group	Pulses Note Mapping	Per-layer pitch mapping used during Pulses interpretation and instrument routing.	Defines starting note, range, scale, and root before events reach instrument slots.
pulses_trigger_probability_group	Menu > 2: Pulses > L*: * > Trigger Prob.		group	Trigger Prob.	Controls saved trigger probability for this layer.	Mode, low/high values, and the probability grid decide which triggers pass.
pulses_trigger_probability_mode	Menu > 2: Pulses > L*: * > Trigger Prob. > Mode	key:layers.*.pulses.triggerProbabilityMode	enum	Trigger Probability Mode	zero blocks this layer, custom uses the grid, full passes all triggers.	Sparks Trigger Gate can override live playback without changing this saved mode.
pulses_trigger_probability_low	Menu > 2: Pulses > L*: * > Trigger Prob. > Low Prob	key:layers.*.pulses.triggerProbabilityLowPct	number	Low Probability	Sets the low custom trigger probability percentage from 0 to 100.	Clamped so it never exceeds High Prob.
pulses_trigger_probability_high	Menu > 2: Pulses > L*: * > Trigger Prob. > High Prob	key:layers.*.pulses.triggerProbabilityHighPct	number	High Probability	Sets the high custom trigger probability percentage from 0 to 100.	Clamped so it is never below Low Prob.
pulses_trigger_probability_map	Menu > 2: Pulses > L*: * > Trigger Prob. > Map Probability Grid	action:trigger_probability_assign_enter	action	Map Probability Grid	Edits the saved per-cell probability map for this layer.	Cells cycle zero, low, high, full; Shift applies rows and Shift+Fn columns.
pulses_mappings_group	Menu > 2: Pulses > L*: * > Mappings		group	Mappings	Explicit menu-based assignment for Pulses X/Y param-mod slots and aux encoder turn targets.	These pickers reuse the same parameter browser as Sparks X/Y target selection.
pulses_mappings_x_group	Menu > 2: Pulses > L*: * > Mappings > X Axis		group	X Axis Targets	Holds the two explicit X-axis param-mod slot assignments for this layer.	Use Slot 1 and Slot 2 to pick targets, then use the invert toggles to reverse each lane.
pulses_mappings_y_group	Menu > 2: Pulses > L*: * > Mappings > Y Axis		group	Y Axis Targets	Holds the two explicit Y-axis param-mod slot assignments for this layer.	Use Slot 1 and Slot 2 to pick targets, then use the invert toggles to reverse each lane.
pulses_aux_mappings_group	Menu > 2: Pulses > Aux Mappings		group	Aux Mappings	Assigns each aux encoder's Turn target and Switch/press action.	Hold Fn for alternate aux overlay: labels without `!` are turn targets and `!Label` means the press action.
pulses_aux_auto_map	Menu > 2: Pulses > Aux Mappings > Auto Map	key:auxAutoMapEnabled	bool	Auto Map	Turns context-sensitive aux auto-mapping on or off.	When enabled, the current menu context can temporarily supply aux targets; custom Fn+Aux alternate bindings still take priority.
pulses_aux_mapping_group	Menu > 2: Pulses > Aux Mappings > Aux *		group	Aux Mapping	Per-encoder binding submenu for one aux encoder.	Turn stores the rotary target; Click stores the press action shown with `!` in the Fn alternate aux overlay.
pulses_aux_turn_group	Menu > 2: Pulses > Aux Mappings > Aux * > Turn		group	Aux Turn	Selects which parameter this aux encoder turn controls.	You can also focus a bindable value row and press Fn+Aux as an alternate action to store it as that encoder's custom Turn binding.
pulses_aux_click_group	Menu > 2: Pulses > Aux Mappings > Aux * > Click		group	Aux Click	Selects which action this aux encoder press triggers.	You can also focus a bindable action row and press Fn+Aux as an alternate action to store it as that encoder's custom `!` press binding.
pulses_aux_click_layers_group	Menu > 2: Pulses > Aux Mappings > Aux * > Click > Layers		group	Layers	Lists layers whose current behavior exposes bindable click actions.	Open a layer to bind one of its current behavior actions to the selected aux click.
pulses_aux_click_layer_group	Menu > 2: Pulses > Aux Mappings > Aux * > Click > Layers > L*		group	Layer Actions	Lists the currently bindable behavior actions for this layer's active behavior.	These are the same actions available through the current behavior's menu actions.
pulses_aux_click_sample_group	Menu > 2: Pulses > Aux Mappings > Aux * > Click > Sample Assign		group	Sample Assign	Binds aux click to open sample-slot grid assignment for a sampler instrument.	Only sampler instruments appear here.
pulses_aux_click_fx_group	Menu > 2: Pulses > Aux Mappings > Aux * > Click > FX Map		group	FX Map	Binds aux click to enter FX map-to-grid assignment using the current selected FX config.	This stores the selected FX snapshot at bind time.
pulses_mappings_x_slot_group	Menu > 2: Pulses > L*: * > Mappings > X Axis > Slot *		group	X Slot	Selects which parameter this X-axis modulation slot controls.	The browser is shared with Sparks X/Y target selection so available targets stay consistent.
pulses_mappings_y_slot_group	Menu > 2: Pulses > L*: * > Mappings > Y Axis > Slot *		group	Y Slot	Selects which parameter this Y-axis modulation slot controls.	The browser is shared with Sparks X/Y target selection so available targets stay consistent.
pulses_mappings_param_none	*	action:param_mod_set_target	action	Clear Slot Target	Clears the selected Pulses param-mod slot so that lane no longer writes any parameter.	Existing invert state is preserved if you later assign a new target.
pulses_mappings_aux_turn_none	*	action:aux_turn_set_target	action	Clear Aux Turn	Clears the selected aux encoder turn binding.	Any existing aux click binding for that encoder is preserved.
pulses_mappings_aux_click_none	*	action:aux_click_set_target	action	Clear Aux Click	Clears the selected aux encoder click binding.	Any existing aux turn binding for that encoder is preserved.
pulses_mappings_x_invert_1	*	key:layers.*.paramMods.x.0.invert	bool	Slot 1 Invert	When On, X Slot 1 writes the selected parameter using an inverted lane direction.	Low positions become high values and vice versa.
pulses_mappings_x_invert_2	*	key:layers.*.paramMods.x.1.invert	bool	Slot 2 Invert	When On, X Slot 2 writes the selected parameter using an inverted lane direction.	Low positions become high values and vice versa.
pulses_mappings_y_invert_1	*	key:layers.*.paramMods.y.0.invert	bool	Slot 1 Invert	When On, Y Slot 1 writes the selected parameter using an inverted lane direction.	Low positions become high values and vice versa.
pulses_mappings_y_invert_2	*	key:layers.*.paramMods.y.1.invert	bool	Slot 2 Invert	When On, Y Slot 2 writes the selected parameter using an inverted lane direction.	Low positions become high values and vice versa.
inst_note_behavior	*	key:instruments.*.noteBehavior	enum	Note Mode	Controls retrigger versus hold behavior for this instrument slot.	Use hold for lifecycle note_off workflows and scanned-empty release.
inst_midi_enabled	*	key:instruments.*.midi.enabled	bool	MIDI Enabled	Enables this slot's external MIDI note output.	Global MIDI and an output port must also be enabled.
inst_midi_channel	*	key:instruments.*.midi.channel	number	MIDI Channel	Selects this slot's external MIDI channel.	Shown as 1..16 while stored internally as 0..15.
inst_midi_engine_velocity	*	key:instruments.*.midiEngine.velocity	number	MIDI Velocity	Sets the fixed velocity for external MIDI notes from this slot.	Use when Pulses should drive pitch and timing only.
inst_midi_engine_duration	*	key:instruments.*.midiEngine.durationMs	number	MIDI Duration	Sets the default length for this slot's external MIDI notes.	Applies to oneshot note behavior.
osc_wave	*	key:instruments.*.synth.osc*.waveform	enum	Oscillator Wave	Selects the oscillator waveform shape.	Use different waves per osc for richer timbre blends.
osc_level	*	key:instruments.*.synth.osc*.levelPct	number	Oscillator Level	Sets this oscillator's contribution to the voice mix.	Balance osc1/osc2 levels to shape tone body.
osc_octave	*	key:instruments.*.synth.osc*.octave	number	Oscillator Octave	Offsets oscillator pitch in octave steps.	Useful for layered bass/body/air intervals.
osc_detune	*	key:instruments.*.synth.osc*.detuneCents	number	Oscillator Detune	Offsets oscillator pitch by cents for beating/width.	Small detune values create motion without changing harmony.
osc_pw	*	key:instruments.*.synth.osc*.pulseWidthPct	number	Pulse Width	Sets pulse duty cycle when pulse waveform is used.	Ignored for non-pulse waveforms.
amp_gain	*	key:instruments.*.synth.amp.gainPct	number	Amp Gain	Sets base loudness for this instrument slot.	Use with Master Vol to balance global versus per-slot level.
amp_vel	*	key:instruments.*.synth.amp.velocitySensitivityPct	number	Velocity Sensitivity	Controls how strongly note velocity affects loudness.	Lower values flatten dynamics; higher values increase response.
amp_env_adsr	*	key:instruments.*.synth.ampEnv.*	number	Amp Envelope	Shapes loudness over time using ADSR stages.	Attack/Decay/Release are in ms; Sustain is level percentage.
filt_type	*	key:instruments.*.synth.filter.type	enum	Filter Type	Selects the filter response mode for this slot.	Use alongside cutoff/resonance and filter envelope depth.
filt_cutoff	*	key:instruments.*.synth.filter.cutoffHz	number	Filter Cutoff	Sets base cutoff frequency for tone brightness.	Higher values pass more high content.
filt_res	*	key:instruments.*.synth.filter.resonance	number	Filter Resonance	Boosts emphasis near cutoff frequency.	High resonance can create pronounced tonal peaks.
filt_env_amt	*	key:instruments.*.synth.filter.envAmountPct	number	Filter Env Amount	Sets how much filter envelope modulates cutoff.	Positive values open with envelope; negative values invert.
filt_keytrack	*	key:instruments.*.synth.filter.keyTrackingPct	number	Filter Key Tracking	Sets how cutoff follows played pitch across notes.	Higher values keep timbre more consistent by pitch.
filt_env_adsr	*	key:instruments.*.synth.filterEnv.*	number	Filter Envelope	Shapes filter movement over time using ADSR stages.	Use with Env Amount for plucks, swells, and contour motion.
bpm_help	*	key:transport.bpm	number	BPM	Sets master tempo in beats per minute.	Affects internal clock rate and algorithm pulse timing.
sound_group	Menu > System > Sound		group	Sound	Global volume, voice shaping, and note behavior controls.	Includes Master Vol, Voice Limit, Note Length, Velocity Scale, Velocity Curve, and Output Buffer.
master_vol	*	key:masterVolume	number	Master Volume	Sets overall output volume scaling.	Use this for final level trim without changing patch balance.
tones_stealing_mode	*	key:sound.voiceStealingMode	enum	Voice Limit	Controls voice stealing: fixed12, fixed16, auto-soft, auto-balanced, auto-hard, or none.	auto-hard keeps more CPU headroom; auto-soft preserves longer tails.
audio_output_buffer_frames	*	key:sound.audioOutputBufferFrames	enum	Output Buffer	Sets Pi audio output buffer frames for the next device restart.	Smaller values reduce latency; larger values improve stability. OCTESSERA_AUDIO_OUTPUT_BUFFER_FRAMES still overrides this at startup.
