id	path	key	kind	title	line1	line2
life_save_grid_state	Menu > L1: Life > Save Grid State		bool	Save Grid State	When On, this part's runtime/grid state is stored in preset/default saves.	When Off, saves keep this part's config but not its current runtime/grid snapshot.
scan_mode	*	key:scanMode	enum	Scan Mode	Options: none, scanning. none uses whole-grid interpretation without a scan cursor.	scanning moves a cursor by scan unit/axis/direction and emits scanned/scanned-empty triggers.
scan_axis	*	key:scanAxis	enum	Scan Axis	Sets whether scanning traverses rows or columns.	Combine with Scan Direction to define scan movement.
scan_unit	*	key:scanUnit	enum	Scan Unit	Sets scan cursor advance rate in musical units.	Smaller units move faster; larger units move slower.
scan_direction	*	key:scanDirection	enum	Scan Direction	Sets scan travel direction along the selected axis.	Use reverse for back-and-forth style phrasing with manual resets.
scan_sections	*	key:parts.*.l2.scanSections	enum	Sections	Splits scanning into 1, 2, 4, or 8 lane sections.	1 preserves current full-grid scan behavior; higher values scan smaller lanes in sequence.
event_enabled	*	key:eventEnabled	bool	Event Triggers	Enables transition triggers such as activate/deactivate.	Disable to ignore transition events and rely on state scanning only.
state_enabled	*	key:stateEnabled	bool	State Notes	Enables state-based scan triggers from current cell occupancy.	Default is On for all parts; disable to use only transition events from cell changes.
targets_group	Menu > L2: Sense > Instrument Targets		group	Instrument Targets	Maps each trigger kind to an action and destination instrument slot.	Use note_off actions for release-style lifecycle behavior.
map_activate_action	*	key:mapping.activate.action	enum	Activate Action	Defines what happens when a cell becomes active.	Default note_on starts notes on birth/spawn transitions.
map_activate_channel	*	key:mapping.activate.channel	enum	Activate Instrument	Selects which instrument slot receives activate events.	Displayed as 1..N in UI and stored as slots 0..N-1 (N from platform capabilities).
map_stable_action	*	key:mapping.stable.action	enum	Stable Action	Defines behavior for cells that stay active across updates.	Default none avoids constant retriggering from unchanged active cells.
map_stable_channel	*	key:mapping.stable.channel	enum	Stable Instrument	Selects destination instrument slot for stable triggers.	Use with stable action when you want sustained-state gestures.
map_deactivate_action	*	key:mapping.deactivate.action	enum	Deactivate Action	Defines what happens when a cell turns inactive.	Default note_off releases matching notes in lifecycle workflows.
map_deactivate_channel	*	key:mapping.deactivate.channel	enum	Deactivate Instrument	Selects destination instrument slot for deactivate triggers.	Typically points to the same slot used by activate note_on.
map_scanned_action	*	key:mapping.scanned.action	enum	Scanned Action	Defines behavior when scan encounters a filled cell.	Default note_on makes scanning immediately audible.
map_scanned_channel	*	key:mapping.scanned.channel	enum	Scanned Instrument	Selects destination instrument slot for scanned-filled triggers.	Use different slots for layered scan/event voicing.
map_scanned_empty_action	*	key:mapping.scanned_empty.action	enum	Scanned Empty Action	Defines behavior when scan encounters an empty cell.	Default note_off can release held scan notes.
map_scanned_empty_channel	*	key:mapping.scanned_empty.channel	enum	Scanned Empty Instrument	Selects destination instrument slot for scanned-empty triggers.	Pair with scanned slot for directional hold-and-release patterns.
voice_section	Menu > L3: Voice		group	Voice Layer	Defines pitch mapping and instrument slot sound engines.	This layer controls how sensed events become audible voices.
note_mapping_group	Menu > L3: Voice > Note Mapping		group	Note Mapping	Sets pitch quantization, range, and root/scale behavior.	Applied before per-instrument synth shaping.
pitch_start	*	key:pitch.startingNote	number	Starting Note	Sets the reference note before X/Y pitch step offsets are applied.	Use this as the tonal center anchor.
pitch_low	*	key:pitch.lowestNote	number	Lowest Note	Sets the lower bound for generated notes.	Notes outside range are handled by Out of Range mode.
pitch_high	*	key:pitch.highestNote	number	Highest Note	Sets the upper bound for generated notes.	Together with Lowest Note this defines playable range.
pitch_oor	*	key:pitch.outOfRange	enum	Out of Range	Chooses how pitch indices beyond bounds are handled.	Clamp pins to edges; wrap folds back through the range.
pitch_scale	*	key:pitch.scale	enum	Scale	Selects scale intervals used for pitch quantization.	Use this to set harmonic language globally.
pitch_root	*	key:pitch.root	enum	Root	Sets the tonic/root for selected scale quantization.	Changing root transposes quantized output harmonically.
inst_group	Menu > L3: Voice > Instruments		group	Instruments	Contains the platform-defined instrument slots used by Sense routing.	Each slot has independent MIDI and synth parameters.
inst_midi_group	Menu > L3: Voice > Instruments > Instrument * > MIDI		group	Instrument MIDI	Per-slot external MIDI routing controls.	Enable and select channel when this slot should transmit MIDI out.
inst_slot_1	Menu > L3: Voice > Instruments > Instrument 1		group	Instrument Slot	Configures one destination instrument slot.	Sense mappings route trigger actions into these slots.
inst_slot_2	Menu > L3: Voice > Instruments > Instrument 2		group	Instrument Slot	Configures one destination instrument slot.	Sense mappings route trigger actions into these slots.
inst_slot_3	Menu > L3: Voice > Instruments > Instrument 3		group	Instrument Slot	Configures one destination instrument slot.	Sense mappings route trigger actions into these slots.
inst_slot_4	Menu > L3: Voice > Instruments > Instrument 4		group	Instrument Slot	Configures one destination instrument slot.	Sense mappings route trigger actions into these slots.
inst_slot_5	Menu > L3: Voice > Instruments > Instrument 5		group	Instrument Slot	Configures one destination instrument slot.	Sense mappings route trigger actions into these slots.
inst_slot_6	Menu > L3: Voice > Instruments > Instrument 6		group	Instrument Slot	Configures one destination instrument slot.	Sense mappings route trigger actions into these slots.
inst_slot_7	Menu > L3: Voice > Instruments > Instrument 7		group	Instrument Slot	Configures one destination instrument slot.	Sense mappings route trigger actions into these slots.
inst_slot_8	Menu > L3: Voice > Instruments > Instrument 8		group	Instrument Slot	Configures one destination instrument slot.	Sense mappings route trigger actions into these slots.
inst_slot_9	Menu > L3: Voice > Instruments > Instrument 9		group	Instrument Slot	Configures one destination instrument slot.	Sense mappings route trigger actions into these slots.
inst_slot_10	Menu > L3: Voice > Instruments > Instrument 10		group	Instrument Slot	Configures one destination instrument slot.	Sense mappings route trigger actions into these slots.
inst_slot_11	Menu > L3: Voice > Instruments > Instrument 11		group	Instrument Slot	Configures one destination instrument slot.	Sense mappings route trigger actions into these slots.
inst_slot_12	Menu > L3: Voice > Instruments > Instrument 12		group	Instrument Slot	Configures one destination instrument slot.	Sense mappings route trigger actions into these slots.
inst_slot_13	Menu > L3: Voice > Instruments > Instrument 13		group	Instrument Slot	Configures one destination instrument slot.	Sense mappings route trigger actions into these slots.
inst_slot_14	Menu > L3: Voice > Instruments > Instrument 14		group	Instrument Slot	Configures one destination instrument slot.	Sense mappings route trigger actions into these slots.
inst_slot_15	Menu > L3: Voice > Instruments > Instrument 15		group	Instrument Slot	Configures one destination instrument slot.	Sense mappings route trigger actions into these slots.
inst_slot_16	Menu > L3: Voice > Instruments > Instrument 16		group	Instrument Slot	Configures one destination instrument slot.	Sense mappings route trigger actions into these slots.
inst_synth_group	Menu > L3: Voice > Instruments > Instrument * > Synth		group	Synth	Per-slot synth engine parameters.	Use Preset for fast starting points, then shape osc/amp/filter sections.
inst_synth_osc_group	Menu > L3: Voice > Instruments > Instrument * > Synth > Oscillator		group	Oscillator	Primary tone source section for this synth slot.	Blend osc1 and osc2 to set core timbre.
inst_synth_osc1_group	Menu > L3: Voice > Instruments > Instrument * > Synth > Oscillator > Osc 1		group	Oscillator 1	Controls first oscillator voice.	Use with Oscillator 2 for layered tone shaping.
inst_synth_osc2_group	Menu > L3: Voice > Instruments > Instrument * > Synth > Oscillator > Osc 2		group	Oscillator 2	Controls second oscillator voice.	Detune/octave offsets create width and harmonic spread.
inst_synth_vol_group	Menu > L3: Voice > Instruments > Instrument * > Synth > Volume		group	Volume	Amplitude and loudness contour controls.	Use Amp and Envelope to define dynamics.
inst_synth_amp_group	Menu > L3: Voice > Instruments > Instrument * > Synth > Volume > Amp		group	Amp	Base gain and velocity response controls.	Sets how loud notes are before master volume.
inst_synth_amp_env_group	Menu > L3: Voice > Instruments > Instrument * > Synth > Volume > Envelope		group	Amp Envelope	ADSR loudness contour for the slot.	Shapes attack, sustain body, and release tail.
inst_synth_filter_group	Menu > L3: Voice > Instruments > Instrument * > Synth > Filter		group	Filter	Frequency-shaping section for this slot.	Use cutoff/resonance and filter envelope for movement.
inst_synth_filter_core_group	Menu > L3: Voice > Instruments > Instrument * > Synth > Filter > Filter		group	Filter Core	Core filter parameters and tracking controls.	Determines spectral emphasis and envelope response depth.
inst_synth_filter_env_group	Menu > L3: Voice > Instruments > Instrument * > Synth > Filter > Envelope		group	Filter Envelope	ADSR contour that modulates filter movement.	Works together with Env Amount.
inst_type_1	Menu > L3: Voice > Instruments > Instrument * > Type	key:instruments.0.type	enum	Instrument Type	Options: none, synth, sample, midi. none is a silent placeholder; synth is a two-oscillator subtractive engine; sample is assignment-driven playback; midi is external MIDI event output.	Select the engine family for this slot; the editable section below changes to match the selected type.
inst_type_2	Menu > L3: Voice > Instruments > Instrument * > Type	key:instruments.1.type	enum	Instrument Type	Options: none, synth, sample, midi. none is a silent placeholder; synth is a two-oscillator subtractive engine; sample is assignment-driven playback; midi is external MIDI event output.	Select the engine family for this slot; the editable section below changes to match the selected type.
inst_type_3	Menu > L3: Voice > Instruments > Instrument * > Type	key:instruments.2.type	enum	Instrument Type	Options: none, synth, sample, midi. none is a silent placeholder; synth is a two-oscillator subtractive engine; sample is assignment-driven playback; midi is external MIDI event output.	Select the engine family for this slot; the editable section below changes to match the selected type.
inst_type_4	Menu > L3: Voice > Instruments > Instrument * > Type	key:instruments.3.type	enum	Instrument Type	Options: none, synth, sample, midi. none is a silent placeholder; synth is a two-oscillator subtractive engine; sample is assignment-driven playback; midi is external MIDI event output.	Select the engine family for this slot; the editable section below changes to match the selected type.
inst_type_5	Menu > L3: Voice > Instruments > Instrument * > Type	key:instruments.4.type	enum	Instrument Type	Options: none, synth, sample, midi. none is a silent placeholder; synth is a two-oscillator subtractive engine; sample is assignment-driven playback; midi is external MIDI event output.	Select the engine family for this slot; the editable section below changes to match the selected type.
inst_type_6	Menu > L3: Voice > Instruments > Instrument * > Type	key:instruments.5.type	enum	Instrument Type	Options: none, synth, sample, midi. none is a silent placeholder; synth is a two-oscillator subtractive engine; sample is assignment-driven playback; midi is external MIDI event output.	Select the engine family for this slot; the editable section below changes to match the selected type.
inst_type_7	Menu > L3: Voice > Instruments > Instrument * > Type	key:instruments.6.type	enum	Instrument Type	Options: none, synth, sample, midi. none is a silent placeholder; synth is a two-oscillator subtractive engine; sample is assignment-driven playback; midi is external MIDI event output.	Select the engine family for this slot; the editable section below changes to match the selected type.
inst_type_8	Menu > L3: Voice > Instruments > Instrument * > Type	key:instruments.7.type	enum	Instrument Type	Options: none, synth, sample, midi. none is a silent placeholder; synth is a two-oscillator subtractive engine; sample is assignment-driven playback; midi is external MIDI event output.	Select the engine family for this slot; the editable section below changes to match the selected type.
inst_type_9	Menu > L3: Voice > Instruments > Instrument * > Type	key:instruments.8.type	enum	Instrument Type	Options: none, synth, sample, midi. none is a silent placeholder; synth is a two-oscillator subtractive engine; sample is assignment-driven playback; midi is external MIDI event output.	Select the engine family for this slot; the editable section below changes to match the selected type.
inst_type_10	Menu > L3: Voice > Instruments > Instrument * > Type	key:instruments.9.type	enum	Instrument Type	Options: none, synth, sample, midi. none is a silent placeholder; synth is a two-oscillator subtractive engine; sample is assignment-driven playback; midi is external MIDI event output.	Select the engine family for this slot; the editable section below changes to match the selected type.
inst_type_11	Menu > L3: Voice > Instruments > Instrument * > Type	key:instruments.10.type	enum	Instrument Type	Options: none, synth, sample, midi. none is a silent placeholder; synth is a two-oscillator subtractive engine; sample is assignment-driven playback; midi is external MIDI event output.	Select the engine family for this slot; the editable section below changes to match the selected type.
inst_type_12	Menu > L3: Voice > Instruments > Instrument * > Type	key:instruments.11.type	enum	Instrument Type	Options: none, synth, sample, midi. none is a silent placeholder; synth is a two-oscillator subtractive engine; sample is assignment-driven playback; midi is external MIDI event output.	Select the engine family for this slot; the editable section below changes to match the selected type.
inst_type_13	Menu > L3: Voice > Instruments > Instrument * > Type	key:instruments.12.type	enum	Instrument Type	Options: none, synth, sample, midi. none is a silent placeholder; synth is a two-oscillator subtractive engine; sample is assignment-driven playback; midi is external MIDI event output.	Select the engine family for this slot; the editable section below changes to match the selected type.
inst_type_14	Menu > L3: Voice > Instruments > Instrument * > Type	key:instruments.13.type	enum	Instrument Type	Options: none, synth, sample, midi. none is a silent placeholder; synth is a two-oscillator subtractive engine; sample is assignment-driven playback; midi is external MIDI event output.	Select the engine family for this slot; the editable section below changes to match the selected type.
inst_type_15	Menu > L3: Voice > Instruments > Instrument * > Type	key:instruments.14.type	enum	Instrument Type	Options: none, synth, sample, midi. none is a silent placeholder; synth is a two-oscillator subtractive engine; sample is assignment-driven playback; midi is external MIDI event output.	Select the engine family for this slot; the editable section below changes to match the selected type.
inst_type_16	Menu > L3: Voice > Instruments > Instrument * > Type	key:instruments.15.type	enum	Instrument Type	Options: none, synth, sample, midi. none is a silent placeholder; synth is a two-oscillator subtractive engine; sample is assignment-driven playback; midi is external MIDI event output.	Select the engine family for this slot; the editable section below changes to match the selected type.
inst_sample_group	Menu > L3: Voice > Instruments > Instrument * > Sample		group	Sample	Sample playback setup for this instrument slot.	Choose slot/path, enter assignment mode, and tune per-slot dynamics/filtering.
inst_sample_slot	Menu > L3: Voice > Instruments > Instrument * > Sample > Sample Slot	key:instruments.*.sample.selectedSlot	enum	Sample Slot	Selects which one of the 8 sample slots is currently focused.	Choose Sample and Assign actions apply to the selected slot.
inst_sample_choose_group	Menu > L3: Voice > Instruments > Instrument * > Sample > Choose Sample		group	Choose Sample	Browse files inside the `samples/` folder tree (wav only).	Press Space to preview directly; assigned playback follows instrument routing and bus FX.
inst_sample_assign	Menu > L3: Voice > Instruments > Instrument * > Sample > Assign	action:sample_assign_enter	action	Assign	Enters grid assignment mode for the selected sample slot.	Back exits; Shift+cell applies to row, Shift+double-cell applies to column.
inst_sample_velocity_levels	Menu > L3: Voice > Instruments > Instrument * > Sample > Velocity Levels	key:instruments.*.sample.velocityLevelsEnabled	bool	Velocity Levels	When on, assigned cells store High/Medium/Low level states.	Pressing a selected-slot cell cycles Off -> High -> Medium -> Low -> Off.
inst_sample_level_high	Menu > L3: Voice > Instruments > Instrument * > Sample > Level High	key:instruments.*.sample.velocityLevels.high	number	Level High	Base velocity used for High assignment level.	Final playback velocity is this value scaled by Sense/global velocity shaping.
inst_sample_level_medium	Menu > L3: Voice > Instruments > Instrument * > Sample > Level Medium	key:instruments.*.sample.velocityLevels.medium	number	Level Medium	Base velocity used for Medium assignment level.	Final playback velocity is this value scaled by Sense/global velocity shaping.
inst_sample_level_low	Menu > L3: Voice > Instruments > Instrument * > Sample > Level Low	key:instruments.*.sample.velocityLevels.low	number	Level Low	Base velocity used for Low assignment level.	Final playback velocity is this value scaled by Sense/global velocity shaping.
inst_sample_base_velocity	Menu > L3: Voice > Instruments > Instrument * > Sample > Base Velocity	key:instruments.*.sample.baseVelocity	number	Base Velocity	Used when Velocity Levels are off.	Assigned cells then play as binary on/off with this base velocity.
inst_sample_browse_open	Menu > L3: Voice > Instruments > Instrument * > Sample > Choose Sample > (loading...)	action:sample_browse_open	action	Loading Samples	Requests a listing for the current directory under `samples/`.	This appears briefly while the browser is loading.
inst_sample_browse_up	Menu > L3: Voice > Instruments > Instrument * > Sample > Choose Sample > ..	action:sample_browse_up	action	Browse Up	Moves to the parent folder within `samples/`.	Cannot navigate outside the `samples/` root.
inst_sample_browse_enter	Menu > L3: Voice > Instruments > Instrument * > Sample > Choose Sample > *	action:sample_browse_enter	action	Enter Folder	Opens the selected subfolder in the sample browser.	Folder names are shown in brackets.
inst_sample_pick	Menu > L3: Voice > Instruments > Instrument * > Sample > Choose Sample > *	action:sample_pick	action	Pick Sample	Assigns the selected wav path to the current sample slot.	The slot path updates immediately and can auto-save if enabled.
sense_note_mapping_group	Menu > L2: Sense > Note Mapping		group	Sense Note Mapping	Per-part pitch mapping used during Sense interpretation and instrument routing.	Defines starting note, range, scale, and root before events reach instrument slots.
inst_note_behavior	*	key:instruments.*.noteBehavior	enum	Note Behavior	Controls retrigger versus hold behavior for this instrument slot.	Use hold for lifecycle note_off workflows and scanned-empty release.
inst_midi_enabled	*	key:instruments.*.midi.enabled	bool	MIDI Enabled	Enables external MIDI output for this instrument slot.	Global MIDI must also be enabled in System > MIDI.
inst_midi_channel	*	key:instruments.*.midi.channel	number	MIDI Channel	Selects outgoing MIDI channel for this instrument slot.	Shown as 1..16 while stored internally as 0..15.
osc_wave	*	key:instruments.*.synth.osc*.waveform	enum	Oscillator Wave	Selects the oscillator waveform shape.	Use different waves per osc for richer timbre blends.
osc_level	*	key:instruments.*.synth.osc*.levelPct	number	Oscillator Level	Sets this oscillator's contribution to the voice mix.	Balance osc1/osc2 levels to shape tone body.
osc_octave	*	key:instruments.*.synth.osc*.octave	number	Oscillator Octave	Offsets oscillator pitch in octave steps.	Useful for layered bass/body/air intervals.
osc_detune	*	key:instruments.*.synth.osc*.detuneCents	number	Oscillator Detune	Offsets oscillator pitch by cents for beating/width.	Small detune values create motion without changing harmony.
osc_pw	*	key:instruments.*.synth.osc*.pulseWidthPct	number	Pulse Width	Sets pulse duty cycle when pulse waveform is used.	Ignored for non-pulse waveforms.
amp_gain	*	key:instruments.*.synth.amp.gainPct	number	Amp Gain	Sets base loudness for this instrument slot.	Use with Master Vol to balance global versus per-slot level.
amp_vel	*	key:instruments.*.synth.amp.velocitySensitivityPct	number	Velocity Sensitivity	Controls how strongly note velocity affects loudness.	Lower values flatten dynamics; higher values increase response.
amp_env_adsr	*	key:instruments.*.synth.ampEnv.*	number	Amp Envelope	Shapes loudness over time using ADSR stages.	Attack/Decay/Release are in ms; Sustain is level percentage.
filt_type	*	key:instruments.*.synth.filter.type	enum	Filter Type	Selects the filter response mode for this slot.	Use alongside cutoff/resonance and filter envelope depth.
filt_cutoff	*	key:instruments.*.synth.filter.cutoffHz	number	Filter Cutoff	Sets base cutoff frequency for tone brightness.	Higher values pass more high content.
filt_res	*	key:instruments.*.synth.filter.resonance	number	Filter Resonance	Boosts emphasis near cutoff frequency.	High resonance can create pronounced tonal peaks.
filt_env_amt	*	key:instruments.*.synth.filter.envAmountPct	number	Filter Env Amount	Sets how much filter envelope modulates cutoff.	Positive values open with envelope; negative values invert.
filt_keytrack	*	key:instruments.*.synth.filter.keyTrackingPct	number	Filter Key Tracking	Sets how cutoff follows played pitch across notes.	Higher values keep timbre more consistent by pitch.
filt_env_adsr	*	key:instruments.*.synth.filterEnv.*	number	Filter Envelope	Shapes filter movement over time using ADSR stages.	Use with Env Amount for plucks, swells, and contour motion.
playback_section	Menu > Playback		group	Playback	Transport tempo and timing controls.	These settings affect scheduler pacing and clock behavior.
bpm_help	*	key:transport.bpm	number	BPM	Sets master tempo in beats per minute.	Affects internal clock rate and algorithm pulse timing.
sound_group	Menu > System > Sound		group	Sound	Global volume, voice shaping, and note behavior controls.	Includes Master Vol, Voice Stealing, Note Length, Velocity Scale, and Velocity Curve.
master_vol	*	key:masterVolume	number	Master Volume	Sets overall output volume scaling.	Use this for final level trim without changing patch balance.
voice_stealing_mode	*	key:sound.voiceStealingMode	enum	Voice Stealing	Controls global load-aware voice stealing behavior: off, lenient, balanced, aggressive.	Aggressive keeps more CPU headroom under load; lenient preserves longer tails.
presets_group	Menu > System > Presets		group	Presets	Save, load, and manage configuration snapshots.	Use defaults for boot state and library for named variants.
default_save	System > Presets > Default > Save Default	action:default_save	action	Save Default	Stores current state as startup default payload.	Use with Auto Save when you want edits to persist automatically.
default_load	System > Presets > Default > Load Default	action:default_load	action	Load Default	Loads the saved default payload into current state.	Replaces current runtime settings immediately.
autosave_default	*	key:autoSaveDefault	bool	Auto Save Default	When enabled, config edits update default storage after a short cooldown so sweeps save only the latest settled value.	Turning this on and exiting the row saves the current config immediately.
note_length	*	key:sound.noteLengthMs	number	Note Length	Default note duration when note_on has no explicit length.	Hold-mode notes may bypass duration and wait for note_off.
velocity_scale	*	key:sound.velocityScalePct	number	Velocity Scale	Scales velocity values globally after mapping.	Use to tame or boost overall dynamic output.
velocity_curve	*	key:sound.velocityCurve	enum	Velocity Curve	Applies response curve to velocity scaling.	Soft raises low velocities; hard emphasizes stronger hits.
ui_group	Menu > System > UI Settings		group	UI Settings	Display and lighting behavior for the device/simulator UI.	These do not change musical generation.
ghost_cells	*	key:ghostCells	bool	Ghost Cells	Shows dim cells from inactive parts behind the active part.	Off by default for clarity; active part cells always take visual priority.
screen_sleep	*	key:screenSleepSeconds	number	Screen Sleep	Sets idle timeout before OLED sleep.	Set 0 to keep display always on.
display_bright	*	key:displayBrightness	number	Display Brightness	Sets OLED brightness level.	Higher values improve visibility at cost of brightness.
grid_bright	*	key:gridBrightness	number	Grid Brightness	Sets grid LED brightness scaling.	Lower values are useful for dark environments.
button_bright	*	key:buttonBrightness	number	Button Brightness	Sets NeoKey/button LED brightness scaling.	Helps match hardware feel to ambient light.
numeric_display	*	key:numericDisplayMode	enum	Numeric Display	Controls how bar-style numeric parameters are displayed.	bar shows a visual bar only; numbers shows plain numbers; bar+numbers shows both bar and numeric label.
sense_x_axis_group	Menu > L2: Sense > X Axis		group	X Axis Modulation	Maps X position into pitch/velocity/filter modulation lanes.	Use offsets and ranges to reshape horizontal influence.
sense_x_pitch_group	Menu > L2: Sense > X Axis > Pitch Steps		group	X Pitch Steps	Controls pitch stepping derived from X position.	Disable to remove X-axis pitch influence.
restart_section_x	*	key:parts.*.l2.x.pitch.restartEachSection	bool	Restart Section	Restarts X pitch stepping inside each scan section.	Use with sectioned column scans for repeated motifs per lane.
sense_x_velocity_group	Menu > L2: Sense > X Axis > Velocity		group	X Velocity Lane	Maps X position to velocity output range.	Use this for left-right dynamic shaping.
sense_x_cutoff_group	Menu > L2: Sense > X Axis > Filter Cutoff		group	X Cutoff Lane	Maps X position to CC74 cutoff modulation range.	Works when filter cutoff lane is enabled.
sense_x_res_group	Menu > L2: Sense > X Axis > Filter Resonance		group	X Resonance Lane	Maps X position to CC71 resonance modulation range.	Use carefully to avoid excessive resonance peaks.
sense_y_axis_group	Menu > L2: Sense > Y Axis		group	Y Axis Modulation	Maps Y position into pitch/velocity/filter modulation lanes.	Use alongside X axis for two-dimensional mapping.
